segment,query,clicks_28d,imps_28d,pos_28d,clicks_16m,imps_16m,pos_16m
brand-entity,canvas classes,471,667,1.2,7216,9789,1.3
brand-entity,canvas classes.in,54,65,1.0,849,1014,1.0
brand-entity,canvas chemistry,26,36,1.4,866,1154,1.6
brand-entity,canvas classes chemistry,44,51,1.0,583,746,1.4
brand-entity,canvasclasses,21,29,1.5,331,447,1.1
brand-entity,canva classes,32,141,3.9,255,715,3.7
brand-entity,canvas class,15,36,2.8,137,415,3.6
brand-entity,canvas classes bitsat,38,58,1.3,110,158,1.8
brand-entity,canvas classes notes,5,9,1.0,140,197,1.2
brand-entity,canvas classes college predictor,30,38,1.0,93,112,1.2
brand-entity,canvas chem,6,9,1.0,73,143,1.9
brand-entity,canvas of soil,8,549,9.2,9,689,8.9
brand-entity,canvas classes paaras thakur,0,0,0.0,69,95,1.0
brand-entity,canvas bitsat,18,18,1.0,34,42,3.6
brand-entity,paras thakur chemistry,8,55,3.2,34,280,4.6
brand-entity,canva chemistry,2,11,4.9,44,86,4.2
brand-entity,canvasclasses.in,7,10,1.0,39,52,1.0
brand-entity,canvaclasses,5,8,3.6,35,72,4.2
brand-entity,canvas clases,2,3,1.0,36,45,1.0
brand-entity,"""paras thakur"" ""fender"" guitar",0,327,2.0,0,0,0.0
brand-entity,canvas college predictor,5,5,1.0,22,28,1.0
brand-entity,canvas of soil poem,2,218,8.1,2,224,8.1
brand-entity,canvas jee,0,0,0.0,25,31,1.0
brand-entity,canvas notes,0,0,0.0,22,161,3.3
brand-entity,the local train paras thakur lead guitarist official,0,221,2.2,0,0,0.0
class9-concepts,tyndall effect class 9,8,799,9.3,9,963,9.3
class9-concepts,distillation diagram class 9,0,784,6.5,0,0,0.0
class9-concepts,paper chromatography class 9,4,483,6.8,7,578,6.8
class9-concepts,what is coagulation in chemistry class 9,1,588,5.3,0,0,0.0
class9-concepts,what is tyndall effect class 9,3,466,9.8,3,571,9.9
class9-concepts,coagulation class 9,9,336,4.8,10,410,4.5
class9-concepts,distillation class 9,3,381,6.8,3,447,7.0
class9-concepts,what is paper chromatography class 9,2,364,7.3,2,411,7.6
class9-concepts,coagulation definition class 9,3,260,5.7,3,300,5.5
class9-concepts,case based passage for class 9,9,70,5.9,11,97,6.0
class9-concepts,sublimation class 9,3,178,9.2,3,204,8.9
class9-concepts,what is distillation class 9,0,244,7.0,0,0,0.0
class9-concepts,what is coagulation class 9,0,230,4.9,0,0,0.0
class9-concepts,define coagulation class 9,1,183,5.8,0,0,0.0
class9-concepts,define distillation class 9,0,189,8.4,0,0,0.0
class9-concepts,chromatography class 9,0,189,8.0,0,0,0.0
class9-concepts,factual description class 9,2,101,8.4,4,113,8.8
class9-concepts,kinematic equations class 9,2,119,5.9,2,119,5.9
class9-concepts,coagulation class 9 chemistry,3,85,4.6,4,95,4.5
class9-concepts,paper chromatography diagram class 9,1,143,3.1,0,0,0.0
class9-concepts,simple distillation diagram class 9,0,151,5.7,0,0,0.0
class9-concepts,centrifugation diagram class 9,0,147,7.3,0,0,0.0
class9-concepts,paper chromatography definition class 9,0,129,8.2,0,0,0.0
class9-concepts,what is tyndall effect class 9th,0,113,9.4,0,0,0.0
class9-concepts,linear growth and decay models class 9,3,30,3.1,4,34,3.1
class9-concepts,tyndall effect,0,102,5.8,0,0,0.0
class9-concepts,principle of distillation class 9,1,91,3.6,0,0,0.0
class9-concepts,does air and dust particles show tyndall effect,0,94,6.2,0,0,0.0
class9-concepts,definition of paper chromatography class 9,0,94,7.4,0,0,0.0
class9-concepts,paper chromatography class 9 definition,1,83,5.9,0,0,0.0
class9-concepts,define tyndall effect class 9,0,89,8.8,0,0,0.0
class9-concepts,diagram of distillation class 9,0,88,7.5,0,0,0.0
class9-concepts,distillation definition class 9,0,88,6.0,0,0,0.0
class9-concepts,paper chromatography class 9th,2,43,5.3,2,49,5.3
class9-concepts,crystallisation class 9,1,75,6.5,0,0,0.0
class9-concepts,linear growth and linear decay class 9,2,40,7.2,2,52,6.8
class9-concepts,coagulation separation method class 9,2,39,4.9,2,41,4.7
class9-concepts,air and dust particles tyndall effect,0,81,3.6,0,0,0.0
class9-concepts,distillation setup diagram class 9,0,80,3.1,0,0,0.0
class9-concepts,distillation set up diagram class 9,0,79,3.5,0,0,0.0
