year,campus,programme_code,programme_name,degree_type,cutoff_score,max_score
2025,Goa,BE-CHE,"B.E. Chemical",BE,206,390
2025,Goa,BE-CSE,"B.E. Computer Science",BE,274,390
2025,Goa,BE-ECE,"B.E. Electronics & Communication",BE,255,390
2025,Goa,BE-ECMP,"B.E. Electronics and Computer",BE,262,390
2025,Goa,BE-EEE,"B.E. Electrical & Electronics",BE,243,390
2025,Goa,BE-EIE,"B.E. Electronics & Instrumentation",BE,234,390
2025,Goa,BE-ENV,"B.E. Environmental and Sustainability",BE,189,390
2025,Goa,BE-MECH,"B.E. Mechanical",BE,223,390
2025,Goa,BE-MNC,"B.E. Mathematics and Computing",BE,268,390
2025,Goa,MSC-BIO,"M.Sc. Biological Sciences",MSC,203,390
2025,Goa,MSC-CHEM,"M.Sc. Chemistry",MSC,205,390
2025,Goa,MSC-ECON,"M.Sc. Economics",MSC,237,390
2025,Goa,MSC-MATH,"M.Sc. Mathematics",MSC,216,390
2025,Goa,MSC-PHYS,"M.Sc. Physics",MSC,212,390
2025,Goa,MSC-SEMI,"M.Sc. Semiconductor and Nanoscience",MSC,225,390
2025,Hyderabad,BE-CHE,"B.E. Chemical",BE,205,390
2025,Hyderabad,BE-CIV,"B.E. Civil",BE,203,390
2025,Hyderabad,BE-CSE,"B.E. Computer Science",BE,270,390
2025,Hyderabad,BE-ECE,"B.E. Electronics & Communication",BE,256,390
2025,Hyderabad,BE-EEE,"B.E. Electrical & Electronics",BE,239,390
2025,Hyderabad,BE-EIE,"B.E. Electronics & Instrumentation",BE,232,390
2025,Hyderabad,BE-ENV,"B.E. Environmental and Sustainability",BE,181,390
2025,Hyderabad,BE-MECH,"B.E. Mechanical",BE,214,390
2025,Hyderabad,BE-MNC,"B.E. Mathematics and Computing",BE,266,390
2025,Hyderabad,BPHARM,"B. Pharm.",BPHARM,151,390
2025,Hyderabad,MSC-BIO,"M.Sc. Biological Sciences",MSC,203,390
2025,Hyderabad,MSC-CHEM,"M.Sc. Chemistry",MSC,203,390
2025,Hyderabad,MSC-ECON,"M.Sc. Economics",MSC,231,390
2025,Hyderabad,MSC-MATH,"M.Sc. Mathematics",MSC,212,390
2025,Hyderabad,MSC-PHYS,"M.Sc. Physics",MSC,209,390
2025,Hyderabad,MSC-SEMI,"M.Sc. Semiconductor and Nanoscience",MSC,225,390
2025,Pilani,BE-CHE,"B.E. Chemical",BE,210,390
2025,Pilani,BE-CIV,"B.E. Civil",BE,206,390
2025,Pilani,BE-CSE,"B.E. Computer Science",BE,304,390
2025,Pilani,BE-ECE,"B.E. Electronics & Communication",BE,285,390
2025,Pilani,BE-EEE,"B.E. Electrical & Electronics",BE,260,390
2025,Pilani,BE-EIE,"B.E. Electronics & Instrumentation",BE,250,390
2025,Pilani,BE-ENV,"B.E. Environmental and Sustainability",BE,203,390
2025,Pilani,BE-MANF,"B.E. Manufacturing",BE,211,390
2025,Pilani,BE-MECH,"B.E. Mechanical",BE,235,390
2025,Pilani,BE-MNC,"B.E. Mathematics and Computing",BE,295,390
2025,Pilani,BPHARM,"B. Pharm.",BPHARM,168,390
2025,Pilani,MSC-BIO,"M.Sc. Biological Sciences",MSC,208,390
2025,Pilani,MSC-CHEM,"M.Sc. Chemistry",MSC,212,390
2025,Pilani,MSC-ECON,"M.Sc. Economics",MSC,251,390
2025,Pilani,MSC-MATH,"M.Sc. Mathematics",MSC,229,390
2025,Pilani,MSC-PHYS,"M.Sc. Physics",MSC,223,390
2025,Pilani,MSC-SEMI,"M.Sc. Semiconductor and Nanoscience",MSC,239,390
2024,Goa,BE-CHE,"B.E. Chemical",BE,239,390
2024,Goa,BE-CSE,"B.E. Computer Science",BE,301,390
2024,Goa,BE-ECE,"B.E. Electronics & Communication",BE,287,390
2024,Goa,BE-EEE,"B.E. Electrical & Electronics",BE,278,390
2024,Goa,BE-EIE,"B.E. Electronics & Instrumentation",BE,270,390
2024,Goa,BE-MECH,"B.E. Mechanical",BE,254,390
2024,Goa,BE-MNC,"B.E. Mathematics and Computing",BE,295,390
2024,Goa,MSC-BIO,"M.Sc. Biological Sciences",MSC,234,390
2024,Goa,MSC-CHEM,"M.Sc. Chemistry",MSC,236,390
2024,Goa,MSC-ECON,"M.Sc. Economics",MSC,263,390
2024,Goa,MSC-MATH,"M.Sc. Mathematics",MSC,249,390
2024,Goa,MSC-PHYS,"M.Sc. Physics",MSC,248,390
